City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed
novonukutskiy,100,1615066102,94,53.7002,102.7117,12.15,2.71
tawang,35,1615066102,88,27.5833,91.8667,33.04,2.66
nizwa,0,1615066102,27,22.9333,57.5333,68.9,0.96
san juan,0,1615065954,19,-31.5375,-68.5364,95.0,5.26
hunxe,19,1615066102,71,51.65,6.7833,36.0,4.68
sao gabriel da cachoeira,97,1615066002,85,-0.1303,-67.0892,83.46,2.04
lufilufi,75,1615066102,84,-13.8745,-171.5986,86.0,5.75
solano,1,1615066002,39,38.2333,-121.9511,66.2,4.16
van,75,1615066103,59,38.4924,43.3831,32.0,4.61
cap-aux-meules,100,1615066103,73,47.3821,-61.8597,21.2,18.41
nantucket,1,1615065809,47,41.2835,-70.0995,33.8,16.11
kushima,75,1615066103,76,31.4583,131.2333,53.6,17.27
touros,20,1615065899,74,-5.1989,-35.4608,80.6,6.91
coihaique,40,1615066015,55,-45.5752,-72.0662,64.4,11.5
matara,32,1615066104,85,5.9485,80.5353,75.07,3.47
sioux lookout,40,1615066104,32,50.1001,-91.917,35.6,4.61
maridi,76,1615066104,40,4.9158,29.4742,75.96,2.89
skjervoy,100,1615066164,94,70.0311,20.9714,28.54,4.54
tairua,63,1615066164,70,-37.0167,175.85,66.99,5.99
lebedinyy,99,1615066165,89,58.5167,125.5167,-3.33,9.19
garowe,0,1615066165,84,8.4054,48.4845,64.62,8.57
harper,98,1615066165,84,4.375,-7.7169,79.32,6.71
syasstroy,100,1615066165,98,60.1367,32.5691,28.15,18.75
saint-pierre,75,1615066165,94,-21.3393,55.4781,75.2,5.75
zakupy,0,1615066166,78,50.6848,14.6452,30.0,1.99
orasac,0,1615066166,92,44.6289,16.0711,30.04,2.77
boa vista,40,1615066166,40,2.8197,-60.6733,93.2,10.36
paine,0,1615066166,47,-33.8167,-70.75,82.4,11.5
mondlo,74,1615066167,95,-27.983,30.7177,64.17,5.35
impfondo,100,1615065976,66,1.6381,18.0667,80.94,6.78
sao joao da barra,75,1615066167,74,-21.6403,-41.0511,82.4,5.75
shimoda,97,1615066167,76,34.6667,138.95,39.99,5.01
santa rosa,20,1615066167,73,14.3122,121.1114,77.0,3.44
zalantun,0,1615066167,89,48,122.7167,11.28,3.15
bilma,0,1615066167,18,18.6853,12.9164,72.73,4.63
buraydah,0,1615066168,44,26.326,43.975,59.0,5.75
mayo,90,1615066168,36,38.8876,-76.5119,46.0,9.22
okhotsk,0,1615066168,78,59.3833,143.3,-20.7,15.66
batagay-alyta,42,1615066168,65,67.8006,130.4114,-27.15,2.51
longyearbyen,40,1615065948,66,78.2186,15.6401,1.4,19.57
pacifica,40,1615066161,58,37.6138,-122.4869,57.2,13.8
gallup,1,1615066168,17,35.5281,-108.7426,61.0,10.36
vostok,100,1615066169,91,46.4856,135.8833,-7.71,5.55
barra,0,1615066169,53,-11.0894,-43.1417,83.5,2.95
lorengau,44,1615066169,75,-2.0226,147.2712,81.52,5.68
nanortalik,100,1615066169,91,60.1432,-45.2371,33.96,11.05
mongo,38,1615066170,16,12.1844,18.693,80.56,9.42
alugan,75,1615066170,80,12.2188,125.4808,77.85,13.44
caramay,100,1615066170,82,10.1815,119.236,76.98,8.1
makasar,40,1615066170,94,-5.14,119.4221,75.2,3.44
norman wells,90,1615066018,78,65.282,-126.8329,3.2,3.44
padang,90,1615066170,100,-0.9492,100.3543,73.4,8.05
bathsheba,20,1615066171,65,13.2167,-59.5167,80.6,18.41
sherlovaya gora,0,1615066172,94,50.5667,116.25,-2.97,1.88
aklavik,90,1615066172,78,68.2191,-135.0107,1.4,8.05
deputatskiy,100,1615066172,85,69.3,139.9,-23.91,11.1
quatre cocos,75,1615066172,78,-20.2078,57.7625,80.6,10.36
kieta,99,1615066023,80,-6.2167,155.6333,79.84,2.19
nhulunbuy,10,1615066172,89,-12.2333,136.7667,80.6,8.05
kaeo,100,1615065951,87,-35.1,173.7833,64.0,1.01
xuddur,72,1615065916,72,4.1213,43.8894,70.27,17.67
igrim,99,1615066172,93,63.1906,64.4162,-0.51,4.63
dhemaji,89,1615066173,63,27.4833,94.5833,64.92,5.99
pa sang,0,1615066173,63,18.5262,98.9394,64.4,1.14
half moon bay,1,1615066173,76,37.4636,-122.4286,57.99,14.97
acajutla,0,1615066173,55,13.5928,-89.8275,85.05,10.16
lahij,55,1615066173,50,13.1667,44.5833,73.44,3.87
danville,1,1615066066,17,36.586,-79.395,53.6,14.97
gonbad-e qabus,0,1615066234,87,37.25,55.1672,37.4,5.28
marsa matruh,0,1615066234,82,31.3525,27.2453,53.6,5.75
ola,87,1615066234,79,59.5833,151.2833,-13.27,4.94
yakovlevka,12,1615066234,89,44.425,133.4772,2.5,4.07
komsomolskiy,100,1615065969,49,40.4272,71.7189,46.4,2.28
muros,0,1615066234,74,42.7762,-9.0603,48.99,3
lapao,83,1615066235,40,-11.3833,-41.8319,81.75,5.75
vallenar,0,1615066032,30,-28.5708,-70.7581,84.78,8.75
fortuna,20,1615066235,58,40.5982,-124.1573,57.99,7.65
jiuquan,0,1615066235,81,39.7432,98.5174,32.18,1.77
port-cartier,100,1615066236,54,50.0334,-66.8654,28.99,11.5
la orilla,0,1615066236,56,17.9833,-102.2333,81.48,7.7
luena,76,1615066236,88,-11.7833,19.9167,62.22,2.62
atikokan,0,1615066236,84,48.7555,-91.6216,34.0,3.98
klaksvik,75,1615066236,93,62.2266,-6.589,41.0,3.44
mahebourg,75,1615066237,78,-20.4081,57.7,80.6,10.36
ahipara,100,1615066237,65,-35.1667,173.1667,67.03,13.78
mogadouro,76,1615066237,83,41.3403,-6.7119,42.01,2.73
tazmalt,86,1615066237,65,36.3868,4.3989,58.03,3.6
itaituba,20,1615066237,66,-4.2761,-55.9836,86.0,5.75
jining,88,1615066237,78,35.405,116.5814,34.05,2.48
